Tên món,Giá,image,link
HamSpicy beef,139,01991530635b73ecb1a22658b49e1653.png,https://media.dodostatic.net/image/01991530635b73ecb1a22658b49e1653.png
Mozzarella cheese,125,0199ae74f2fd783b8fb21bb0af7d09e6.png,https://media.dodostatic.net/image/0199ae74f2fd783b8fb21bb0af7d09e6.png
Cheddar and Parmesan cheeses,99,0199152f32e47035aefbe8c971c54502.png,https://media.dodostatic.net/image/0199152f32e47035aefbe8c971c54502.png
Jalapenos,79,0199152c7eb27553a08f57c8c9861ac3.png,https://media.dodostatic.net/image/0199152c7eb27553a08f57c8c9861ac3.png
Chicken,99,0199152e59157089adb89948280ebb10.png,https://media.dodostatic.net/image/0199152e59157089adb89948280ebb10.png
Mushrooms,79,0199152bfda5723f8bbecc43a35f83f1.png,https://media.dodostatic.net/image/0199152bfda5723f8bbecc43a35f83f1.png
Bacon,99,019c570e36ff78f4ba36a75d85000d7e.png,https://media.dodostatic.net/image/019c570e36ff78f4ba36a75d85000d7e.png
Ham,99,0199152d7fd075a9b11d17f8acaf1670.png,https://media.dodostatic.net/image/0199152d7fd075a9b11d17f8acaf1670.png
Pepperoni,99,0199ae74b6d6761f972e9a60b63044bc.png,https://media.dodostatic.net/image/0199ae74b6d6761f972e9a60b63044bc.png
Pickles,79,0199152e33ee7722ac038fa5bc26e630.png,https://media.dodostatic.net/image/0199152e33ee7722ac038fa5bc26e630.png
Tomatoes,79,0199152a8428737d9f6b19c1b2329749.png,https://media.dodostatic.net/image/0199152a8428737d9f6b19c1b2329749.png
Red onion,79,0199ae747c85710abcf2950497834b01.png,https://media.dodostatic.net/image/0199ae747c85710abcf2950497834b01.png
Pineapple,79,0199152b81587495b19ba8008c567f5d.png,https://media.dodostatic.net/image/0199152b81587495b19ba8008c567f5d.png
Italian seasoning,59,0199152ced7677fcb0e49edd0ebf6c90.png,https://media.dodostatic.net/image/0199152ced7677fcb0e49edd0ebf6c90.png
Sweet pepper,79,0199152ced7677fcb0e49edd0ebf6c90.png,https://media.dodostatic.net/image/0199152ced7677fcb0e49edd0ebf6c90.png
Bryndza cheese,99,0199152ced7677fcb0e49edd0ebf6c90.png,https://media.dodostatic.net/image/0199152ced7677fcb0e49edd0ebf6c90.png
Shrimps,249,019c570e238d751dbe68f7d540857d16.png,https://media.dodostatic.net/image/019c570e238d751dbe68f7d540857d16.png
Pork neck,250,0199e7d1cd977499a410e7a4f0495221.png,https://media.dodostatic.net/image/0199e7d1cd977499a410e7a4f0495221.png
Balyk sausages,250,019cb4960da771ed94fba307e44fa33b.png,https://media.dodostatic.net/image/019cb4960da771ed94fba307e44fa33b.png
