@name,price,image
Chill Grill Pocket Pizza,99,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606124/paopizza/products/pasta_deset_salad/chill-grill-pocket-pizza.jpg
Ham & Cheese Pocket Pizza,109,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606124/paopizza/products/pasta_deset_salad/ham-and-cheese-pocket-pizza.jpg
Chorizo BBQ Pocket Pizza,119,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606125/paopizza/products/pasta_deset_salad/chorizo-bbq-pocket-pizza.jpg
Dodster Masala,89,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606125/paopizza/products/pasta_deset_salad/dodster-masala.jpg
Meat Pasta,139,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606126/paopizza/products/pasta_deset_salad/meat-pasta.jpg
Cold chicken roll,79,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606126/paopizza/products/pasta_deset_salad/cold-chicken-roll.jpg
Dodster,89,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606127/paopizza/products/pasta_deset_salad/dodster.jpg
Dodster chill grill,99,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606127/paopizza/products/pasta_deset_salad/dodster-chill-grill.jpg
Meat Feast Dodster,109,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606128/paopizza/products/pasta_deset_salad/meat-feast-dodster.jpg
Ham Dodster,79,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606128/paopizza/products/pasta_deset_salad/ham-dodster.jpg
Spicy Dodster,89,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606129/paopizza/products/pasta_deset_salad/spicy-dodster.jpg
Baked potatoes with cheese sauce,59,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606129/paopizza/products/pasta_deset_salad/baked-potatoes-with-cheese-sauce.jpg
Baked potatoes,49,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606129/paopizza/products/pasta_deset_salad/baked-potatoes.jpg
Country-style potatoes,49,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606130/paopizza/products/pasta_deset_salad/country-style-potatoes.jpg
Hashbrowns,45,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606130/paopizza/products/pasta_deset_salad/hashbrowns.jpg
Shrimps,99,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606131/paopizza/products/pasta_deset_salad/shrimps.jpg
Teriyaki shrimp,129,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606131/paopizza/products/pasta_deset_salad/teriyaki-shrimp.jpg
Chicken Nuggets,69,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606132/paopizza/products/pasta_deset_salad/chicken-nuggets.jpg
Chicken Bites,89,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606132/paopizza/products/pasta_deset_salad/chicken-bites.jpg
Ham&Mushrooms Omelette,79,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606728/paopizza/products/pasta_deset_salad/ham-and-mushrooms-omelette.jpg
Omelette with tomatoes,69,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606729/paopizza/products/pasta_deset_salad/omelette-with-tomatoes.jpg
Bacon Omelette,79,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606730/paopizza/products/pasta_deset_salad/bacon-omelette.jpg
Cheese Omelette,79,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606731/paopizza/products/pasta_deset_salad/cheese-omelette.jpg
Pepperoni Omelette,79,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606732/paopizza/products/pasta_deset_salad/pepperoni-omelette.jpg
Carbonara,139,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606733/paopizza/products/pasta_deset_salad/carbonara.jpg
Pasta Pesto,129,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606133/paopizza/products/pasta_deset_salad/pasta-pesto.jpg
Shrimp Pasta,149,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606134/paopizza/products/pasta_deset_salad/shrimp-pasta.jpg
Pasta Shrimp and pesto,159,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606134/paopizza/products/pasta_deset_salad/pasta-shrimp-and-pesto.jpg
Chicken Bites lunchbox,129,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606135/paopizza/products/pasta_deset_salad/chicken-bites-lunchbox.jpg
Mushroom Starter,69,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606135/paopizza/products/pasta_deset_salad/mushroom-starter.jpg
Cheese Starter,69,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606136/paopizza/products/pasta_deset_salad/cheese-starter.jpg
Veggie,79,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606136/paopizza/products/pasta_deset_salad/veggie.jpg
Caesar Salad,89,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606137/paopizza/products/pasta_deset_salad/caesar-salad.jpg
