name,price,image
Create your own pizza,179,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606137/paopizza/products/pizza/create-your-own-pizza.jpg
Ham and pickles,169,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606138/paopizza/products/pizza/ham-and-pickles.jpg
Masala Pizza,229,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606138/paopizza/products/pizza/masala-pizza.jpg
Dodo,369,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606139/paopizza/products/pizza/dodo.jpg
Pepperoni Fresh,179,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606139/paopizza/products/pizza/pepperoni-fresh.jpg
Pepperoni,189,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606140/paopizza/products/pizza/pepperoni.jpg
Garlic Chicken,199,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606140/paopizza/products/pizza/garlic-chicken.jpg
Teriyaki,279,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606141/paopizza/products/pizza/teriyaki.jpg
Four cheese,279,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606141/paopizza/products/pizza/four-cheese.jpg
Cheesy,169,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606142/paopizza/products/pizza/cheesy.jpg
Meat mix,389,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606142/paopizza/products/pizza/meat-mix.jpg
Ham & Cheese,179,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606143/paopizza/products/pizza/ham-and-cheese.jpg
Double Chicken,219,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606734/paopizza/products/pizza/double-chicken.jpg
Shrimp and pesto,299,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606735/paopizza/products/pizza/shrimp-and-pesto.jpg
Ham & Mushroom,199,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606736/paopizza/products/pizza/ham-and-mushroom.jpg
Arriva!,289,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606737/paopizza/products/pizza/arriva.jpg
Sweet Chilli shrimp,299,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606738/paopizza/products/pizza/sweet-chilli-shrimp.jpg
Carbonara,289,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606739/paopizza/products/pizza/carbonara.jpg
Julienne,269,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606143/paopizza/products/pizza/julienne.jpg
Pesto Pizza,289,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606144/paopizza/products/pizza/pesto-pizza.jpg
Meat Feast,329,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606144/paopizza/products/pizza/meat-feast.jpg
Burger pizza,229,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606144/paopizza/products/pizza/burger-pizza.jpg
Cheesy chicken,279,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606145/paopizza/products/pizza/cheesy-chicken.jpg
Hawaiian,179,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606146/paopizza/products/pizza/hawaiian.jpg
BBQ Chicken,259,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606146/paopizza/products/pizza/bbq-chicken.jpg
Chicken ranch,259,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606147/paopizza/products/pizza/chicken-ranch.jpg
Margherita,189,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606147/paopizza/products/pizza/margherita.jpg
Diablo,299,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606148/paopizza/products/pizza/diablo.jpg
Double Pepperoni,289,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606148/paopizza/products/pizza/double-pepperoni.jpg
Four Seasons,359,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606149/paopizza/products/pizza/four-seasons.jpg
Vegetarian,219,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606149/paopizza/products/pizza/vegetarian.jpg
Dodo Mix,399,https://res.cloudinary.com/dxrrdqgss/image/upload/v1786606150/paopizza/products/pizza/dodo-mix.jpg
,,
